route_path,http_method,server_auth_enforced,expected_role,current_protection,risk_level,notes
/api/client/vip-store/checkout,POST,no,client,none,high,Charges wallet; suite in body.
/api/admin/vip-store,GET,no,admin,none,critical,Store+orders admin; no auth.
/api/admin/vip-store/preview-import,POST,no,admin,none,medium,Import preview; no auth.
/api/admin/vip-store/settings,PATCH,no,admin,none,high,Fee settings; no auth.
/api/admin/vip-store/products,POST,no,admin,none,high,Create product; no auth.
/api/admin/vip-store/products/:id,PATCH,no,admin,none,high,Patch product; no auth.
/api/admin/vip-store/orders/:id,PATCH,no,admin,none,high,Patch order; no auth.
/api/admin/vip-store/orders/:id/refund,POST,no,admin,none,critical,Refund wallet; no auth.
/api/client/amazon-leads/analyze,POST,no,public,none,low,Hard-disabled 403.
/api/client/amazon-leads/daily,GET,no,client,none,medium,suite query; unsubscribed returns marketing payload.
/api/admin/amazon-leads/editions,GET,no,admin,none,high,Editions meta; no auth.
/api/admin/amazon-leads/spreadsheet-upload,POST,no,admin,none,high,File upload; no auth.
/api/admin/amazon-leads/publish,POST,no,admin,none,critical,Keepa spend + publish; no auth.
